year,plant,region_province,type,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12, percentage_per_ton 
2551,ทุเรียน,รวมทั้งประเทศ,ร้อยละ, 0.38 , 0.21 , 0.61 , 12.54 , 40.91 , 10.95 , 8.83 , 12.84 , 8.66 , 1.63 , 1.34 , 1.10 , 100.00 
2551,ทุเรียน,รวมทั้งประเทศ,ปริมาณ," 2,407 "," 1,336 "," 3,914 "," 79,998 "," 260,889 "," 69,841 "," 56,287 "," 81,915 "," 55,244 "," 10,418 "," 8,529 "," 7,012 "," 637,790 "
2551,ทุเรียน,ภาคเหนือ,ร้อยละ, -   , -   , -   , -   , 2.71 , 7.59 , 84.91 , 4.79 , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,ภาคเหนือ,ปริมาณ, -   , -   , -   , -   , 351 , 986 ," 11,025 ", 622 , -   , -   , -   , -   ," 12,984 "
2551,ทุเรียน,ภาคตะวันออกเฉียงเหนือ,ร้อยละ, -   , -   , -   , -   , 3.07 , 36.40 , 60.25 , 0.28 , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,ภาคตะวันออกเฉียงเหนือ,ปริมาณ, -   , -   , -   , -   , 56 , 666 ," 1,102 ", 5 , -   , -   , -   , -   ," 1,829 "
2551,ทุเรียน,ภาคกลาง,ร้อยละ, -   , 0.03 , 1.02 , 20.94 , 65.04 , 11.29 , 1.54 , 0.05 , 0.02 , 0.04 , 0.03 , -   , 100.00 
2551,ทุเรียน,ภาคกลาง,ปริมาณ, -   , 96 ," 3,895 "," 79,949 "," 248,384 "," 43,114 "," 5,884 ", 172 , 61 , 185 , 137 , -   ," 381,877 "
2551,ทุเรียน,ภาคใต้,ร้อยละ, 1.00 , 0.51 , 0.01 , 0.02 , 5.02 , 10.40 , 15.88 , 33.64 , 22.89 , 4.24 , 3.48 , 2.91 , 100.00 
2551,ทุเรียน,ภาคใต้,ปริมาณ," 2,407 "," 1,240 ", 19 , 49 ," 12,098 "," 25,075 "," 38,276 "," 81,116 "," 55,183 "," 10,233 "," 8,392 "," 7,012 "," 241,100 "
2551,ทุเรียน,สุโขทัย,ร้อยละ, -   , -   , -   , -   , 2.23 , 8.49 , 84.24 , 5.04 , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,สุโขทัย,ปริมาณ, -   , -   , -   , -   , 88 , 336 ," 3,337 ", 200 , - , -   , -   , -   ," 3,961 "
2551,ทุเรียน,อุตรดิตถ์,ร้อยละ, -   , -   , -   , -   , 2.91 , 7.20 , 85.21 , 4.68 , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,อุตรดิตถ์,ปริมาณ, -   , -   , -   , -   , 263 , 650 ," 7,688 ", 422 , -   , -   , -   , -   ," 9,023 "
2551,ทุเรียน,ศรีสะเกษ,ร้อยละ, -   , -   , -   , -   , 3.13 , 37.09 , 59.78 , -   , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,ศรีสะเกษ,ปริมาณ, -   , -   , -   , -   , 56 , 666 ," 1,073 ", -   , -   , -   , -   , -   ," 1,795 "
2551,ทุเรียน,นครราชสีมา,ร้อยละ, -   , -   , -   , -   , -   , -   , 84.97 , 15.03 , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,นครราชสีมา,ปริมาณ, -   , -   , -   , -   , -   , -   , 29 , 5 , -   , -   , -   , -   , 34 
2551,ทุเรียน,นนทบุรี,ร้อยละ, -   , -   , -   , 5.80 , 52.87 , 21.37 , 19.96 , -   , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,นนทบุรี,ปริมาณ, -   , -   , -   , 16 , 146 , 59 , 55.00 , -   , -   , -   , -   , -   , 276 
2551,ทุเรียน,ปราจีนบุรี,ร้อยละ, -   , -   , -   , 16.22 , 32.64 , 26.64 , 24.50 , -   , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,ปราจีนบุรี,ปริมาณ, -   , -   , -   , 392 , 789 , 644 , 592 , -   , -   , -   , -   , -   ," 2,417 "
2551,ทุเรียน,ฉะเชิงเทรา,ร้อยละ, -   , -   , -   , -   , 57.39 , 25.09 , 17.52 , -   , -   , -   , -   , -   , 100.00 
2551,ทุเรียน,ฉะเชิงเทรา,ปริมาณ, -   , -   , -   , -   , 95 , 41 , 29.00 , -   , -   , -   , -   , -   , 165 
2551,ทุเรียน,จันทบุรี,ร้อยละ, -   , -   , 0.77 , 19.11 , 69.92 , 9.14 , 1.06 , -   , -   , -   , -   , -   , 100.00 
